ORD100085,2025-10-20 15:58:00,Bengaluru,Healthy,364.16,32,Cash,4
ORD100234,2025-10-21 02:18:00,Hyderabad,South Indian,494.71,29,Credit Card,7
ORD100013,2025-10-21 16:10:00,Bengaluru,Bakery,1052.67,20,UPI,7
ORD100405,2025-10-21 17:58:00,Hyderabad,South Indian,1081.94,29,Wallet,3
ORD100026,2025-10-21 19:09:00,Kolkata,Chinese,556.3,46,UPI,3
ORD100468,2025-10-21 19:09:00,Chennai,Bakery,723.05,43,Cash,7
ORD100255,2025-10-23 02:51:00,Bengaluru,Bakery,973.43,27,UPI,4
ORD100055,2025-10-25 05:57:00,Hyderabad,Mexican,543.83,32,Cash,4
ORD100189,2025-10-25 12:28:00,Kolkata,South Indian,305.75,19,Wallet,3
ORD100146,2025-10-25 14:03:00,Bengaluru,Fast Food,752.95,63,Cash,5
ORD100370,2025-10-26 17:42:00,Hyderabad,Fast Food,510.64,73,Credit Card,4
ORD100295,2025-10-27 04:30:00,Hyderabad,Healthy,1059.34,52,UPI,2
ORD100474,2025-10-27 17:35:00,Bengaluru,Italian,134.3,17,Wallet,5
ORD100254,2025-10-28 03:38:00,Mumbai,South Indian,253.2,62,UPI,5
ORD100346,2025-10-28 12:30:00,Bengaluru,South Indian,193.88,42,UPI,5
ORD100240,2025-10-28 21:27:00,Delhi,Healthy,608.95,48,UPI,5
ORD100256,2025-10-30 05:54:00,Pune,South Indian,782.08,42,Wallet,5
ORD100205,2025-10-31 13:16:00,Chennai,Fast Food,1188.96,31,Wallet,4
ORD100247,2025-11-01 08:34:00,Mumbai,Healthy,697.91,19,UPI,7
ORD100428,2025-11-02 20:52:00,Mumbai,Bakery,796.83,51,Cash,1
ORD100245,2025-11-03 02:49:00,Kolkata,South Indian,1089.53,22,Wallet,5
ORD100360,2025-11-03 07:40:00,Hyderabad,Italian,953.08,31,Wallet,1
ORD100297,2025-11-03 19:17:00,Pune,Healthy,721.65,21,Wallet,6
ORD100398,2025-11-04 04:05:00,Ahmedabad,Healthy,114.3,43,UPI,2
ORD100153,2025-11-05 08:05:00,Bengaluru,Fast Food,919.98,51,Cash,7
