ORD100277,2025-06-14 00:54:00,Kolkata,Mexican,894.48,38,UPI,7
ORD100262,2025-06-14 11:20:00,Chennai,Fast Food,373.34,59,Cash,4
ORD100372,2025-06-15 15:15:00,Delhi,South Indian,808.4,64,Wallet,2
ORD100399,2025-06-15 20:15:00,Mumbai,Chinese,194.06,18,Wallet,1
ORD100140,2025-06-16 01:48:00,Ahmedabad,Bakery,122.08,15,Cash,2
ORD100383,2025-06-17 02:29:00,Chennai,Mexican,214.52,43,Credit Card,1
ORD100227,2025-06-17 03:15:00,Kolkata,Chinese,974.79,23,Wallet,4
ORD100258,2025-06-18 05:10:00,Ahmedabad,North Indian,1083.28,27,Wallet,7
ORD100269,2025-06-21 10:18:00,Bengaluru,North Indian,1003.38,54,Wallet,3
ORD100052,2025-06-21 11:58:00,Bengaluru,Fast Food,707.1,66,Debit Card,5
ORD100357,2025-06-21 12:36:00,Ahmedabad,Chinese,619.27,64,Cash,6
ORD100216,2025-06-23 20:51:00,Hyderabad,Chinese,1013.68,18,Cash,1
ORD100265,2025-06-24 04:27:00,Delhi,Chinese,726.88,65,Cash,7
ORD100460,2025-06-25 02:47:00,Delhi,North Indian,191.08,22,Wallet,6
ORD100044,2025-06-26 00:19:00,Hyderabad,North Indian,779.94,22,UPI,2
ORD100260,2025-06-26 13:06:00,Mumbai,Italian,266.84,64,UPI,4
ORD100414,2025-06-27 03:16:00,Bengaluru,Italian,707.25,28,Credit Card,3
ORD100353,2025-06-27 09:42:00,Ahmedabad,Chinese,1087.86,18,Wallet,7
ORD100136,2025-06-27 19:50:00,Mumbai,North Indian,685.88,32,UPI,4
ORD100122,2025-06-28 10:16:00,Delhi,Healthy,507.52,39,Debit Card,3
ORD100356,2025-07-01 04:56:00,Delhi,Chinese,140.2,50,Cash,3
ORD100384,2025-07-04 22:42:00,Chennai,Mexican,979.91,25,UPI,3
ORD100316,2025-07-04 22:51:00,Bengaluru,North Indian,750.4,16,Wallet,2
ORD100147,2025-07-05 03:27:00,Bengaluru,North Indian,847.01,71,Credit Card,3
ORD100049,2025-07-05 18:38:00,Kolkata,Healthy,949.55,32,Credit Card,1
