ORD100364,2025-04-25 09:16:00,Pune,Italian,540.84,24,Wallet,5
ORD100410,2025-04-25 13:19:00,Bengaluru,Chinese,749.32,66,Debit Card,2
ORD100377,2025-04-28 13:34:00,Mumbai,South Indian,824.82,50,Wallet,4
ORD100128,2025-04-28 17:30:00,Hyderabad,Healthy,140.35,63,Credit Card,7
ORD100379,2025-04-29 16:37:00,Mumbai,Fast Food,344.17,49,Credit Card,6
ORD100165,2025-04-30 00:15:00,Mumbai,Fast Food,268.15,39,Cash,6
ORD100453,2025-04-30 22:59:00,Kolkata,Italian,1105.85,22,UPI,5
ORD100471,2025-05-01 07:46:00,Ahmedabad,Healthy,1130.51,38,Wallet,5
ORD100172,2025-05-02 00:03:00,Bengaluru,Bakery,188.26,43,UPI,5
ORD100311,2025-05-02 05:48:00,Pune,Chinese,1022.79,44,Debit Card,2
ORD100296,2025-05-02 13:44:00,Kolkata,Fast Food,1125.33,74,Debit Card,7
ORD100250,2025-05-03 03:49:00,Kolkata,Mexican,228.59,32,Credit Card,5
ORD100169,2025-05-03 13:08:00,Kolkata,Healthy,413.6,73,UPI,7
ORD100139,2025-05-03 19:05:00,Mumbai,Mexican,515.01,62,UPI,7
ORD100012,2025-05-04 06:41:00,Bengaluru,Healthy,1126.0,30,UPI,3
ORD100214,2025-05-07 20:32:00,Bengaluru,Mexican,483.76,39,Debit Card,1
ORD100441,2025-05-08 06:19:00,Ahmedabad,Fast Food,709.6,29,Cash,3
ORD100470,2025-05-09 15:07:00,Chennai,Mexican,830.04,67,Debit Card,4
ORD100422,2025-05-10 04:54:00,Kolkata,North Indian,1084.01,70,Credit Card,6
ORD100109,2025-05-10 06:15:00,Pune,Mexican,859.43,43,Credit Card,5
ORD100004,2025-05-11 00:48:00,Bengaluru,Healthy,853.2,33,Debit Card,7
ORD100130,2025-05-11 01:10:00,Hyderabad,North Indian,884.68,59,Credit Card,5
ORD100129,2025-05-11 09:52:00,Hyderabad,Healthy,377.68,17,Cash,1
ORD100037,2025-05-12 11:07:00,Mumbai,Healthy,372.08,28,Credit Card,7
ORD100314,2025-05-13 05:52:00,Bengaluru,Italian,1056.89,32,Debit Card,7
